"Categoria","Subtipo","Convocatoria","Presentados","Frecuencia"
"Aplicación de resultados","Teorema de Galois","Enero 2023",43,4
"Aplicación de resultados","Eisenstein","Enero 2023",43,4
"Aplicación de resultados","Morfismos no justificados","Enero 2023",43,20
"Aplicación de resultados","Irreducibilidad modular","Enero 2023",43,1
"Enunciados de resultados","Teorema de Moore","Enero 2023",43,2
"Enunciados de resultados","Confusión teoremas Galois","Enero 2023",43,2
"Enunciados de resultados","Hipótesis Gran Teorema Galois","Enero 2023",43,4
"Enunciados de resultados","Hipótesis Teorema Fundamental Galois","Enero 2023",43,9
"Enunciados de resultados","Omisión de hipótesis en otros resultados","Enero 2023",43,5
"Enunciados de resultados","Conectores lógicos incorrectos","Enero 2023",43,0
"Errores conceptuales","Irreducibilidad mal comprendida","Enero 2023",43,9
"Errores conceptuales","Extensiones mal definidas","Enero 2023",43,7
"Errores conceptuales","Automorfismos y grupos de Galois","Enero 2023",43,10
"Errores conceptuales","Polinomio mínimo y cuerpo de escisión","Enero 2023",43,0
"Errores conceptuales","Definiciones de estructuras algebraicas","Enero 2023",43,9
"Errores conceptuales","Cuerpo algebraicamente cerrado","Enero 2023",43,2
"Errores en demostraciones","Inclusión no doble","Enero 2023",43,0
"Errores en demostraciones","Polinomio mínimo mal justificado","Enero 2023",43,6
"Errores en demostraciones","Inducción mal aplicada","Enero 2023",43,5
"Errores en demostraciones","Parámetros o símbolos ambiguos","Enero 2023",43,10
"Errores en demostraciones","Afirmaciones sin justificar","Enero 2023",43,19
"Nomenclatura y redacción","Símbolos incorrectos o ambiguos","Enero 2023",43,4
"Nomenclatura y redacción","Lenguaje informal o incorrecto","Enero 2023",43,5
"Nomenclatura y redacción","Falta de justificación o claridad","Enero 2023",43,6
"Nomenclatura y redacción","Errores de notación en cuerpos, grupos, etc.","Enero 2023",43,3
"Aplicación de resultados","Teorema de Galois","Febrero 2023",34,4
"Aplicación de resultados","Eisenstein","Febrero 2023",34,3
"Aplicación de resultados","Morfismos no justificados","Febrero 2023",34,12
"Aplicación de resultados","Irreducibilidad modular","Febrero 2023",34,1
"Enunciados de resultados","Teorema de Moore","Febrero 2023",34,2
"Enunciados de resultados","Confusión teoremas Galois","Febrero 2023",34,3
"Enunciados de resultados","Hipótesis Gran Teorema Galois","Febrero 2023",34,2
"Enunciados de resultados","Hipótesis Teorema Fundamental Galois","Febrero 2023",34,1
"Enunciados de resultados","Omisión de hipótesis en otros resultados","Febrero 2023",34,0
"Enunciados de resultados","Conectores lógicos incorrectos","Febrero 2023",34,0
"Errores conceptuales","Irreducibilidad mal comprendida","Febrero 2023",34,5
"Errores conceptuales","Extensiones mal definidas","Febrero 2023",34,3
"Errores conceptuales","Automorfismos y grupos de Galois","Febrero 2023",34,18
"Errores conceptuales","Polinomio mínimo y cuerpo de escisión","Febrero 2023",34,0
"Errores conceptuales","Definiciones de estructuras algebraicas","Febrero 2023",34,2
"Errores conceptuales","Cuerpo algebraicamente cerrado","Febrero 2023",34,1
"Errores en demostraciones","Inclusión no doble","Febrero 2023",34,4
"Errores en demostraciones","Polinomio mínimo mal justificado","Febrero 2023",34,5
"Errores en demostraciones","Inducción mal aplicada","Febrero 2023",34,0
"Errores en demostraciones","Parámetros o símbolos ambiguos","Febrero 2023",34,5
"Errores en demostraciones","Afirmaciones sin justificar","Febrero 2023",34,12
"Nomenclatura y redacción","Símbolos incorrectos o ambiguos","Febrero 2023",34,3
"Nomenclatura y redacción","Lenguaje informal o incorrecto","Febrero 2023",34,4
"Nomenclatura y redacción","Falta de justificación o claridad","Febrero 2023",34,5
"Nomenclatura y redacción","Errores de notación en cuerpos, grupos, etc.","Febrero 2023",34,4
"Aplicación de resultados","Teorema de Galois","Enero 2024",35,5
"Aplicación de resultados","Eisenstein","Enero 2024",35,4
"Aplicación de resultados","Morfismos no justificados","Enero 2024",35,14
"Aplicación de resultados","Irreducibilidad modular","Enero 2024",35,1
"Enunciados de resultados","Teorema de Moore","Enero 2024",35,5
"Enunciados de resultados","Confusión teoremas Galois","Enero 2024",35,2
"Enunciados de resultados","Hipótesis Gran Teorema Galois","Enero 2024",35,2
"Enunciados de resultados","Hipótesis Teorema Fundamental Galois","Enero 2024",35,0
"Enunciados de resultados","Omisión de hipótesis en otros resultados","Enero 2024",35,0
"Enunciados de resultados","Conectores lógicos incorrectos","Enero 2024",35,0
"Errores conceptuales","Irreducibilidad mal comprendida","Enero 2024",35,9
"Errores conceptuales","Extensiones mal definidas","Enero 2024",35,2
"Errores conceptuales","Automorfismos y grupos de Galois","Enero 2024",35,20
"Errores conceptuales","Polinomio mínimo y cuerpo de escisión","Enero 2024",35,0
"Errores conceptuales","Definiciones de estructuras algebraicas","Enero 2024",35,6
"Errores conceptuales","Cuerpo algebraicamente cerrado","Enero 2024",35,1
"Errores en demostraciones","Inclusión no doble","Enero 2024",35,2
"Errores en demostraciones","Polinomio mínimo mal justificado","Enero 2024",35,8
"Errores en demostraciones","Inducción mal aplicada","Enero 2024",35,1
"Errores en demostraciones","Parámetros o símbolos ambiguos","Enero 2024",35,4
"Errores en demostraciones","Afirmaciones sin justificar","Enero 2024",35,5
"Nomenclatura y redacción","Símbolos incorrectos o ambiguos","Enero 2024",35,3
"Nomenclatura y redacción","Lenguaje informal o incorrecto","Enero 2024",35,2
"Nomenclatura y redacción","Falta de justificación o claridad","Enero 2024",35,6
"Nomenclatura y redacción","Errores de notación en cuerpos, grupos, etc.","Enero 2024",35,2
"Aplicación de resultados","Teorema de Galois","Enero 2025",53,22
"Aplicación de resultados","Eisenstein","Enero 2025",53,6
"Aplicación de resultados","Morfismos no justificados","Enero 2025",53,0
"Aplicación de resultados","Irreducibilidad modular","Enero 2025",53,0
"Enunciados de resultados","Teorema de Moore","Enero 2025",53,29
"Enunciados de resultados","Confusión teoremas Galois","Enero 2025",53,0
"Enunciados de resultados","Hipótesis Gran Teorema Galois","Enero 2025",53,2
"Enunciados de resultados","Hipótesis Teorema Fundamental Galois","Enero 2025",53,29
"Enunciados de resultados","Omisión de hipótesis en otros resultados","Enero 2025",53,2
"Enunciados de resultados","Conectores lógicos incorrectos","Enero 2025",53,2
"Errores conceptuales","Irreducibilidad mal comprendida","Enero 2025",53,3
"Errores conceptuales","Extensiones mal definidas","Enero 2025",53,29
"Errores conceptuales","Automorfismos y grupos de Galois","Enero 2025",53,3
"Errores conceptuales","Polinomio mínimo y cuerpo de escisión","Enero 2025",53,5
"Errores conceptuales","Definiciones de estructuras algebraicas","Enero 2025",53,26
"Errores conceptuales","Cuerpo algebraicamente cerrado","Enero 2025",53,18
"Errores en demostraciones","Inclusión no doble","Enero 2025",53,0
"Errores en demostraciones","Polinomio mínimo mal justificado","Enero 2025",53,0
"Errores en demostraciones","Inducción mal aplicada","Enero 2025",53,0
"Errores en demostraciones","Parámetros o símbolos ambiguos","Enero 2025",53,0
"Errores en demostraciones","Afirmaciones sin justificar","Enero 2025",53,61
"Nomenclatura y redacción","Símbolos incorrectos o ambiguos","Enero 2025",53,3
"Nomenclatura y redacción","Lenguaje informal o incorrecto","Enero 2025",53,4
"Nomenclatura y redacción","Falta de justificación o claridad","Enero 2025",53,9
"Nomenclatura y redacción","Errores de notación en cuerpos, grupos, etc.","Enero 2025",53,2
