"DificultadExamen";"Preparacion";"TiempoExamen";"DificultadEnunciados";"ConocimientoAlgebraBasica";"ConocimientoAlgebraLineal";"ConocimientoMatDiscreta";"ImpactoConocimientosPrevios";"Dificil_Polinomios";"Dificil_Grupos";"Dificil_GruposResolubles";"Dificil_Automorfismos";"Dificil_TFGalois";"Dificil_GruposGalois";"Dificil_ElementoPrimitivo";"Dificil_ExtRadicales";"Dificil_ExtSeparables";"Dificil_ExtCiclicas";"Dificil_CuerposFinitos";"Dificil_EscisionNormales";"Dificil_Complementos";"Error_Procedimiento";"Error_Concepto";"Error_Enunciado";"Error_Calculo";"Error_Tiempo";"Error_EstudioInsuficiente";"Metodo_ClasesMagistrales";"Metodo_EstudioIndividual";"Metodo_Tutorias";"Metodo_EjerciciosPracticos";"Metodo_VideosEducativos";"Metodo_LibrosRecursosLinea";"Metodo_TrabajoCooperativo";"Recurso_ClasesMagistrales";"Recurso_EstudioIndividual";"Recurso_Tutorias";"Recurso_EjerciciosPracticos";"Recurso_VideosEducativos";"Recurso_LibrosRecursosLinea";"Recurso_TrabajoCooperativo";"Recurso_ChatGPT";"DificilPrevio_ConceptosGenerales";"DificilPrevio_MatematicaDiscreta";"DificilPrevio_AlgebraLineal";"DificilPrevio_CaracteristicasCuerpos";"DificilPrevio_Grupos"
"4";"Parcialmente";"En algunas ocasiones sí, en otras no";"1";"2";"4";"2";"3";0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1
"5";"Parcialmente";"En algunas ocasiones sí, en otras no";"1";"3";"3";"1";"5";0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"4";"Parcialmente";"En algunas ocasiones sí, en otras no";"2";"1";"3";"1";"1";0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"4";"Parcialmente";"En algunas ocasiones sí, en otras no";"2";"3";"4";"2";"1";0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"4";"Parcialmente";"Sí";"2";"2";"1";"2";"1";0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";"Sí";"Sí";"3";"4";"3";"2";"5";0;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"3";"Sí";"Sí";"2";"2";"4";"2";"3";0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1
"3";"Parcialmente";"En algunas ocasiones sí, en otras no";"2";"2";"4";"1";"3";1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
"4";"Parcialmente";"Sí";"1";"5";"5";"2";"5";1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1
"3";"Parcialmente";"En algunas ocasiones sí, en otras no";"2";"3";"4";"2";"3";0;0;0;0;1;0;0;0;0;1;0;1;0;1;1;1;0;0;0;1;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"3";"No";"En algunas ocasiones sí, en otras no";"2";"2";"3";"2";"2";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
"4";"Sí";"Sí";"1";"3";"2";"3";"3";0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"4";"Parcialmente";"Sí";"3";"2";"3";"1";"1";0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
"3";"Sí";"En algunas ocasiones sí, en otras no";"1";"3";"5";"2";"2";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0
"4";"Parcialmente";"En algunas ocasiones sí, en otras no";"2";"3";"3";"2";"1";0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0
"3";"Parcialmente";"En algunas ocasiones sí, en otras no";"1";"4";"5";"3";"5";0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"3";"Parcialmente";"Sí";"2";"2";"4";"2";"3";0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"4";"Parcialmente";"En algunas ocasiones sí, en otras no";"2";"2";"4";"3";"3";0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"4";"Parcialmente";"Sí";"4";"3";"1";"1";"1";0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"4";"Sí";"En algunas ocasiones sí, en otras no";"2";"2";"2";"1";"2";0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"1";"Sí";"Sí";"2";"1";"4";"1";"1";0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"3";"Sí";"En algunas ocasiones sí, en otras no";"1";"2";"4";"2";"4";1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1
"4";"Sí";"Sí";"2";"5";"3";"2";"4";0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"4";"Parcialmente";"En algunas ocasiones sí, en otras no";"2";"3";"4";"1";"2";0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"3";"Parcialmente";"En algunas ocasiones sí, en otras no";"1";"4";"2";"3";"2";0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"4";"Parcialmente";"En algunas ocasiones sí, en otras no";"2";"2";"2";"2";"2";0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0
